,sd,b,sv,+,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,fo_o_fw_"_by_bc,na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,bd,t1,^g,qw^d,fa,ft
ar,0.2100902925755561,0.0,0.07878385971583353,0.02626128657194451,0.05252257314388902,0.7615773105863908,0.0,0.0,0.0,0.0,0.0,0.0,0.6040095911547237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02626128657194451,0.0,0.0,0.02626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ng,0.9056782897679296,0.0,0.05031546054266276,0.0,0.07547319081399415,0.02515773027133138,0.0,0.0,0.0,0.0,0.0,0.0,0.02515773027133138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3270504935273079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515773027133138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
br,0.0,0.0,0.0,0.04233337566673017,0.0,0.0,0.0,0.7196673863344129,0.0,0.0,0.0,0.46566713233403184,0.04233337566673017,0.0,0.0,0.0,0.508000508000762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04233337566673017,0.0,0.0,0.04233337566673017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.818303277009543,0.0,0.177892016741205,0.035578403348241,0.071156806696482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32020563013416903,0.0,0.0,0.0,0.0,0.0,0.249048823437687,0.0,0.0,0.035578403348241,0.0,0.0,0.35578403348241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp,0.2889738156210036,0.07881104062391008,0.0,0.0,0.0,0.0,0.0,0.3152441624956403,0.0,0.0,0.02627034687463669,0.07881104062391008,0.05254069374927338,0.0,0.0,0.0,0.0,0.0,0.0,0.02627034687463669,0.0,0.0,0.0,0.05254069374927338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931917937376475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qrr,0.12711407958211074,0.0,0.0,0.042371359860703575,0.12711407958211074,0.0,0.0,0.46608495846773934,0.0,0.0,0.0,0.042371359860703575,0.0,0.0,0.0,0.1694854394428143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8474271972140716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arp_nd,0.9441103659303239,0.0,0.21457053771143725,0.04291410754228745,0.1716564301691498,0.04291410754228745,0.0,0.04291410754228745,0.0,0.0,0.0,0.0,0.0,0.0,0.04291410754228745,0.0,0.0,0.0,0.0,0.0,0.12874232262686236,0.0,0.0,0.0,0.0,0.0,0.04291410754228745,0.0,0.0858282150845749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.7745966692414834,0.12909944487358055,0.12909944487358055,0.5163977794943222,0.12909944487358055,0.12909944487358055,0.12909944487358055,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo_co_cc,0.8778955729143844,0.0,0.0,0.0,0.0,0.0,0.0,0.07980868844676221,0.0,0.0,0.07980868844676221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23942606534028665,0.0,0.0,0.0,0.0,0.39904344223381105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aap_am,0.26037782196164777,0.0,0.13018891098082389,0.0,0.0,0.9113223768657671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13018891098082389,0.0,0.0,0.0,0.0,0.0,0.26037782196164777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bd,0.30065841120113157,0.07516460280028289,0.22549380840084865,0.0,0.5261522196019802,0.30065841120113157,0.15032920560056579,0.0,0.0,0.0,0.0,0.0,0.676481425202546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07516460280028289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.173421993904824,0.0,0.086710996952412,0.086710996952412,0.086710996952412,0.0,0.086710996952412,0.086710996952412,0.0,0.0,0.0,0.9538209664765319,0.0,0.086710996952412,0.0,0.086710996952412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086710996952412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
^g,0.0,0.4216370213557839,0.0,0.0,0.0,0.10540925533894598,0.0,0.8432740427115678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qw^d,0.753778361444409,0.0,0.0,0.0,0.0,0.0,0.0,0.45226701686664544,0.0,0.0,0.0,0.45226701686664544,0.0,0.0,0.0,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fa,0.29488391230979427,0.0,0.14744195615489714,0.0,0.14744195615489714,0.0,0.0,0.8846517369293828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29488391230979427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
